Inventory Report,,,,,,,,,,
"Inventory Report on Oct 09, 2025 at 03:23 PM EDT",,,,,,,,,,
"Locations: Watertown, PHF Lake Geneva",,,,,,,,,,
"Category Filter: Wholesale, Real Payment Gift Card, All Herbal, Supplements Misc., Services, PHF Supplements, Farmer's Market Items, Jewelry, Clothing, Cleaning Products, Tallow, Candles, Seasonal, Soaps, Snacks and Treats, Cooking, Cosmetics and Toiletries, Purses/Handbags, House Decor, Meat, Coffee Tea, MakeUp, Skin Care, Toiletries, Drinks, Herbal, Kombucha, Misc Drinks, Lotions, Perfumes, Pets, Deodorant, Juice, Health Misc, Cards, EOils, Books, Magnesium, Mushroom, Uncategorized",,,,,,,,,,
"Vendor Filter: Brick House Mercantile, Reliance, Ortho Molecular, Full Script, DesBio, CellCore, Urban Moonshine, BioRay, Touch Stone Essentials/The Good Inside, BioSpectrum, OWLS, Frannie's Market, Concord Honey, American Extractions, Kurativ, Kind Oasis, Simply Earth, CoFix Rx, Faire, Delete When Gone, Redmond Real Salt, Micro Balance Health Products, Rinse Bath Body Inc, Recess, Out of Stock, BDivine, Peter Pauper Press, SpaLife, Burgies Berry Farm, Wavertree & London, Lady May Tallow, Barn 1912 Tallow Company, Barnyard Bison, Mickelberry Gardens, Bergum Family Syrup, Berkley Green, Lindo, Mad Hippie, Love Infusion Foods, Liss & Landi, Custom Kismet, AllWellO, Taylor's Naturals, Oral Fitness Inc Dale Audrey RDH, Moss Creek Wool Works, Manifest Wellness, Chazah Creations LLC, Dandelion Naturals, Credo Designs LTD, Biotics Research, Kelly's Green, Handmade la conner, Dapper Dog Provisions, Davids Natural Toothpaste, Drinkin Buds Hemp LLC, Earth Harbor Naturals, Heart and Honey Elderberry Syrup, Alitasa, Elyxr LA, EMF Solutions, FaceTory, Natures Sunshine, Aunt Fannie's, Forever Minerals Makeup, Frutina, Good Earth Soap, Elemental Bread Sourdough, Hibo Gut-Healthy Energy, Huppy, Hiyo, Holley's Honey, Honey Acres, Honeybee Gard Nat Cos & Body Care, Tipsy Coasters & Gifts, No Tox Life, Hadley Wren, Marley's Monsters, Shannon Martin Designs, Honeywild Apothecary, Jaeger Farms, Crimson Kitchen and Garden, Just Add Wine Candle Co., Katie's Naturals, Ketchup Please, Knockaround, Lifeboost Coffee, Moira Cosmetics, Amazon, Maroma USA, Dancing Flower Beverage Comp., Microgreen Harvest, Mineral and Company, NATPAT, NuGo Nutrition, The Oatball Company, Old Soul Soap Company Inc, Oak & Elizabeth, Poofy Organics, Poshi, Present Not Perfect, Pure Love Essences, HalalEveryDay, Silver Wear, Simply Gum, Sky and Sol, ToGo Spa, Urbal Tea, Capital Husting, The Wholesome Baker, Yellow Heart Sisters, Flagged, Pine Hill Farm, Unknown, FarmCat Wellness, Abdallah Chocolate, The Wellness Company, Pacific Roots, Soaps & Beyond, Two Leaves and a Bud, PennyLine, What Calls the Heart, ODIN Wine, Modern and Chic, Jory, Fame Accessories, Tiny Gift Society, Kentucky Moon Designs, Letto, Loveyenergy & Blessings, Ethereal Clay, That's Sew Me, Sogo Snacks, Wholesalesir, Treasure Wholesale, Lorraine Oerth Co, Etsy, Apothecary Products LLC, The Winding Road, Primatives by Kathy, Himalayan Secrets, SHOPGIVECOURAGE, Mio Queena, BroadStreet Publishing Group, Lissi Designs, Manuka Lane, Zoey Simmons, Tabal Chocolate, Forage Kombucha, The Light Garden, June Jurcak Watercolor Cards, Koochikoo, Simply Honest Co., Venture Imports LLC, Clay and Trinkets, Sugarhouse Leather, Suarhouse Leather, Faiza Naturals, Faber-Castell Creativity for Kids, Handee Products, DM Merchandising, The Wristlet Bar, Bonair Daydreams, Felicity Jewelry Designs, April Cornell, 22 Tote, Chloe & Lex, Pan's Mushroom Jerky, Salt Sisters, Scattered slime, Sockprints, Outwash Acres, Jewelry Junkie, Alison Brooke Designs, Bamboo Switch, New Market Farmhouse, Maggie's Farm & Aromatics, Casa Kira, Fashion City, Lily Clothing, Sunset Vista Designs, Howells Wood Products, Sincere Surroundings, Love and Repeat, Puckator Ltd, Avery Lane Gifts, Karmelize.Me, Roma Leathers, Inc, India Handicrafts Inc, KatKards, Shirley Janes, Kathy Troher, Twisted Tomboy, Bstock, Elemental Superfood, SaidoniaEco, Eastern Ave Studio, Shoes Brew, Puracy, Rich Nuts, WorldFinds, Bark & Whiskers, Jennifer Dahl Designs, semper suds, Hipster Row, Mira Fair Trade, Mycoterra Farms, Seattle Silver Cashmere, PHF Collective Wellness, Seasideblooms",,,,,,,,,,
Active products only,,,,,,,,,,
In stock products only,,,,,,,,,,
,,,,,,,,,,
Product,Variant,Location,Categories,Vendors,SKU,Barcode,In Stock,List Price,Cost/unit,Total Value
"16"" Tulip Bundle",,Watertown,Wholesale,"Delete When Gone, PHF Collective Wellness",646079950,,8,18.25,9,72
24in Snowy Pine Spray,,Watertown,Wholesale,"Unknown, Faire, PHF Collective Wellness",8.04553E+11,,3,8.99,4.15,12.45
6PK Makeup Puff,,Watertown,Wholesale,"Delete When Gone, PHF Collective Wellness",8.10016E+11,,1,7.99,3.85,3.85
Abalone Shell WTTN,,Watertown,Wholesale,"Delete When Gone, PHF Collective Wellness",144284309,,6,14.95,5.99,35.94
ABD Oyster Trinket Dish Decorative,,PHF Lake Geneva,"House Decor, Wholesale","Alison Brooke Designs, Faire, PHF Collective Wellness",013665746107,,16,29.99,14,224
Amethyst Crystal Tea Infuser,,Watertown,Wholesale,"Faire, Delete When Gone, PHF Collective Wellness",215780N,,1,15.5,,
Animal Sitter Signs,,Watertown,Wholesale,"Delete When Gone, PHF Collective Wellness",3706529,,7,12.99,5.5,38.5
Anklet,,Watertown,Wholesale,"Delete When Gone, PHF Collective Wellness",109390507,,3,21.95,,
Anxiety Ring Bead,,Watertown,Wholesale,"Delete When Gone, PHF Collective Wellness",V56,,2,7.95,3.95,7.9
ApCo Cosmetic/Pouch,Alabaster Cosmetic Bag,PHF Lake Geneva,"Cosmetics and Toiletries, Purses/Handbags, Wholesale","April Cornell, Faire, PHF Collective Wellness",8.8861E+11,,3,38.99,19,57
ApCo Cosmetic/Pouch,Blue Cosmetic Bag,PHF Lake Geneva,"Cosmetics and Toiletries, Purses/Handbags, Wholesale","April Cornell, Faire, PHF Collective Wellness",8.8861E+11,,1,38.99,19,19
ApCo Cosmetic/Pouch,Blue Pouch,PHF Lake Geneva,"Cosmetics and Toiletries, Purses/Handbags, Wholesale","April Cornell, Faire, PHF Collective Wellness",8.8861E+11,,2,19.99,9,18
ApCo Cosmetic/Pouch,Midas Cosmetic Bag,PHF Lake Geneva,"Cosmetics and Toiletries, Purses/Handbags, Wholesale","April Cornell, Faire, PHF Collective Wellness",8.8861E+11,,2,38.99,19,38
ApCo Cosmetic/Pouch,Midas Pouch,PHF Lake Geneva,"Cosmetics and Toiletries, Purses/Handbags, Wholesale","April Cornell, Faire, PHF Collective Wellness",8.8861E+11,,2,19.99,9,18
ApCo Cosmetic/Pouch,Turquoise Cosmetic Bag,PHF Lake Geneva,"Cosmetics and Toiletries, Purses/Handbags, Wholesale","April Cornell, Faire, PHF Collective Wellness",8.8861E+11,,3,38.99,19,57
Apothecary Matches,,Watertown,Wholesale,"Delete When Gone, PHF Collective Wellness",Z934088,,2,15.95,,
Apparel 20,,PHF Lake Geneva,Wholesale,"Faire, Delete When Gone, PHF Collective Wellness",77164-284-0000,,34,20,11,374
Apparel 20,,Watertown,Wholesale,"Faire, Delete When Gone, PHF Collective Wellness",77164-284-0000,,41,20,18,738
Ashlyn Tote Handbag,,Watertown,"Purses/Handbags, Wholesale","Delete When Gone, PHF Collective Wellness",252782445,,2,49.99,21.99,43.98
Assorted Debbie Sets Barettes,,Watertown,Wholesale,"Delete When Gone, PHF Collective Wellness",564402917,,2,7.99,3.5,7
Avery Lane Sweedish Dishcloth,Christmas My Opinions,PHF Lake Geneva,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77167E+11,,4,7.99,3.5,14
Avery Lane Sweedish Dishcloth,Christmas My Opinions,Watertown,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77167E+11,,4,7.99,3.5,14
Avery Lane Sweedish Dishcloth,Clean Kitchen Don't Cook,Watertown,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77165E+11,,4,7.99,3.5,14
Avery Lane Sweedish Dishcloth,French Lavender,PHF Lake Geneva,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77164E+11,,4,7.99,3.5,14
Avery Lane Sweedish Dishcloth,French Lavender,Watertown,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77164E+11,,4,7.99,3.5,14
Avery Lane Sweedish Dishcloth,French Roses,Watertown,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77164E+11,,3,7.99,3.5,10.5
Avery Lane Sweedish Dishcloth,Happiness Biggest Window,PHF Lake Geneva,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77164E+11,,4,7.99,3.5,14
Avery Lane Sweedish Dishcloth,Happiness Biggest Window,Watertown,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77164E+11,,4,7.99,3.5,14
Avery Lane Sweedish Dishcloth,Highland Cow,PHF Lake Geneva,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77162E+11,,4,7.99,3.5,14
Avery Lane Sweedish Dishcloth,Highland Cow,Watertown,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77162E+11,,4,7.99,3.5,14
Avery Lane Sweedish Dishcloth,Hoarding Plants,Watertown,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77161E+11,,4,7.99,3.5,14
Avery Lane Sweedish Dishcloth,Merry Christmas Tree,PHF Lake Geneva,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77168E+11,,4,7.99,3.5,14
Avery Lane Sweedish Dishcloth,Merry Christmas Tree,Watertown,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77168E+11,,4,7.99,3.5,14
Avery Lane Sweedish Dishcloth,Mushroom Fairies,Watertown,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77163E+11,,5,7.99,3.5,17.5
Avery Lane Sweedish Dishcloth,One Glass Away,PHF Lake Geneva,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77167E+11,,4,7.99,3.5,14
Avery Lane Tea Towels,Home Sweet Home,Watertown,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77166E+11,,4,16.99,8.5,34
Avery Lane Tea Towels,Kind Words are Like Honey,Watertown,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77169E+11,,2,16.99,7.95,15.9
Avery Lane Tea Towels,Made with Love,Watertown,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77169E+11,,3,16.99,7.95,23.85
Avery Lane Tea Towels,Merry Christmas,Watertown,Wholesale,"Avery Lane Gifts, Faire, PHF Collective Wellness",1.77169E+11,,4,16.99,7.95,31.8
AWO Cold Pressed Juice,Berry Delight,Watertown,"Juice, Wholesale","AllWellO, Faire, PHF Collective Wellness",8.61528E+11,,31,6.5,3.4,108.8
AWO Cold Pressed Juice,Go Green,Watertown,"Juice, Wholesale","AllWellO, Faire, PHF Collective Wellness",8.61528E+11,,7,6.5,3.4,23.8
AWO Cold Pressed Juice,Half and Half,PHF Lake Geneva,"Juice, Wholesale","AllWellO, Faire, PHF Collective Wellness",8.60009E+11,,7,6.5,3.4,23.8
AWO Cold Pressed Juice,Half and Half,Watertown,"Juice, Wholesale","AllWellO, Faire, PHF Collective Wellness",8.60009E+11,,24,6.5,3.4,81.6
AWO Cold Pressed Juice,Mango Power,PHF Lake Geneva,"Juice, Wholesale","AllWellO, Faire, PHF Collective Wellness",8.60009E+11,,10,6.5,3.4,34
AWO Cold Pressed Juice,Mango Power,Watertown,"Juice, Wholesale","AllWellO, Faire, PHF Collective Wellness",8.60009E+11,,10,6.5,3.4,34
AWO Cold Pressed Juice,Strawberry Lemonade,PHF Lake Geneva,"Juice, Wholesale","AllWellO, Faire, PHF Collective Wellness",8.60009E+11,,10,6.5,3.4,34
AWO Cold Pressed Juice,Strawberry Lemonade,Watertown,"Juice, Wholesale","AllWellO, Faire, PHF Collective Wellness",8.60009E+11,,8,6.5,3.4,27.2
AWO Cold Pressed Juice,Tropical Escape,Watertown,"Juice, Wholesale","AllWellO, Faire, PHF Collective Wellness",8.61528E+11,,20,6.5,3.4,68
AWO Cold Pressed Juice,Watermelon,PHF Lake Geneva,"Juice, Wholesale","AllWellO, Faire, Delete When Gone, PHF Collective Wellness",8.60007E+11,,6,6.5,3.4,20.4
AWO Cold Pressed Juice,Watermelon,Watertown,"Juice, Wholesale","AllWellO, Faire, Delete When Gone, PHF Collective Wellness",8.60007E+11,,15,6.5,3.4,51
AWO Shot,Clean Energy,PHF Lake Geneva,Wholesale,"AllWellO, Faire, PHF Collective Wellness",1.97644E+11,,23,4.25,2.25,51.75
AWO Shot,Clean Energy,Watertown,Wholesale,"AllWellO, Faire, PHF Collective Wellness",1.97644E+11,,6,4.25,2.25,13.5
AWO Shot,Ginger,PHF Lake Geneva,Wholesale,"AllWellO, Faire, PHF Collective Wellness",8.60003E+11,,6,4.25,2.25,13.5
AWO Shot,Ginger,Watertown,Wholesale,"AllWellO, Faire, PHF Collective Wellness",8.60003E+11,,11,4.25,2.25,24.75
AWO Shot,Turmeric,PHF Lake Geneva,Wholesale,"AllWellO, Faire, PHF Collective Wellness",8.60003E+11,,11,4.25,2.25,24.75
AWO Shot,Turmeric,Watertown,Wholesale,"AllWellO, Faire, PHF Collective Wellness",8.60003E+11,,7,4.25,2.25,15.75
Bangle Keychain,,Watertown,Wholesale,"Delete When Gone, PHF Collective Wellness",6355515,,1,14.95,7,7
Bark & Whiskers Supplements,B&W Collagen,PHF Lake Geneva,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.10487E+11,,2,45.99,26.99,53.98
Bark & Whiskers Supplements,B&W Collagen,Watertown,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.10487E+11,,3,45.99,26.99,80.97
Bark & Whiskers Supplements,B&W Complete Probiotics,PHF Lake Geneva,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.13006E+11,,1,38.99,22.49,22.49
Bark & Whiskers Supplements,B&W Complete Probiotics,Watertown,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.13006E+11,,2,38.99,22.49,44.98
Bark & Whiskers Supplements,B&W Detox Support,PHF Lake Geneva,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.10487E+11,,2,31.99,18.73,37.46
Bark & Whiskers Supplements,B&W Detox Support,Watertown,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.10487E+11,,3,31.99,18.73,56.19
Bark & Whiskers Supplements,B&W Eye Support,PHF Lake Geneva,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.10094E+11,,2,32.99,18.73,37.46
Bark & Whiskers Supplements,B&W Eye Support,Watertown,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.10094E+11,,3,32.99,18.73,56.19
Bark & Whiskers Supplements,B&W Mushroom Support,PHF Lake Geneva,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.13006E+11,,1,25.99,14.99,14.99
Bark & Whiskers Supplements,B&W Mushroom Support,Watertown,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.13006E+11,,2,25.99,14.99,29.98
Bark & Whiskers Supplements,B&W Probiotics & Enzymes,PHF Lake Geneva,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.13006E+11,,2,49.99,29.99,59.98
Bark & Whiskers Supplements,B&W Probiotics & Enzymes,Watertown,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.13006E+11,,2,49.99,29.99,59.98
Bark & Whiskers Supplements,B&W Seasonal Support,PHF Lake Geneva,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.13006E+11,,2,38.99,22.99,45.98
Bark & Whiskers Supplements,B&W Seasonal Support,Watertown,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.13006E+11,,5,38.99,22.99,114.95
Bark & Whiskers Supplements,B&W Stress Support,PHF Lake Geneva,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.10487E+11,,1,22.99,12.73,12.73
Bark & Whiskers Supplements,B&W Stress Support,Watertown,Wholesale,"Full Script, Bark & Whiskers, PHF Collective Wellness",8.10487E+11,,2,22.99,12.73,25.46
Barn 1912 Lip Balm,,Watertown,Wholesale,"Barn 1912 Tallow Company, PHF Collective Wellness",659200072,,1,6.99,2.6,2.6
Barn 1912 Tallow 2 oz,,Watertown,"Skin Care, Tallow, Wholesale","Barn 1912 Tallow Company, PHF Collective Wellness",182476069,,5,19.99,7.6,38
Barn 1912 Tallow 4oz,,Watertown,Wholesale,"Barn 1912 Tallow Company, PHF Collective Wellness",526953097,,10,34.99,10.3,103
Barn 1912 Tallow Soap,,Watertown,Wholesale,"Barn 1912 Tallow Company, PHF Collective Wellness",1.77165E+11,,1,7.95,2.5,2.5
BBF Aronia Berries #1 Bag,,Watertown,"Snacks and Treats, Wholesale","Burgies Berry Farm, PHF Collective Wellness",786187295,,2,13.95,9,18
BBF Aronia Berry Loose Leaf Tea 2 oz,,Watertown,"Coffee Tea, Wholesale","Burgies Berry Farm, PHF Collective Wellness",1.77169E+11,,7,13.95,9,63
BBF Aronia Berry Looseleaf Tea 4 oz,,Watertown,"Coffee Tea, Wholesale","Burgies Berry Farm, PHF Collective Wellness",7.23538E+11,,1,22.95,17,17
BBF Aronia Berry w/ Tumeric Powder Capsules,,PHF Lake Geneva,"Supplements Misc., Wholesale","Burgies Berry Farm, PHF Collective Wellness",841087412,,3,39.95,29,87
BBF Aronia Berry w/ Tumeric Powder Capsules,,Watertown,"Supplements Misc., Wholesale","Burgies Berry Farm, PHF Collective Wellness",841087412,,5,39.95,29,145
BBF Aronia Fall Berry Soap,,PHF Lake Geneva,"Soaps, Wholesale","Burgies Berry Farm, PHF Collective Wellness",1.77164E+11,,2,8.95,5,10
BBF Aronia Fall Berry Soap,,Watertown,"Soaps, Wholesale","Burgies Berry Farm, PHF Collective Wellness",1.77164E+11,,7,7.5,5,35
BD Greeting Cards,Ah Life Grows Lovely,Watertown,"Cards, Wholesale","Bonair Daydreams, Faire, PHF Collective Wellness",,,8,3.95,1.98,15.84
BD Greeting Cards,Always Remember The Future,Watertown,"Cards, Wholesale","Bonair Daydreams, Faire, PHF Collective Wellness",,,8,3.95,1.98,15.84
BD Greeting Cards,Blessed Are Those Who Mourn,Watertown,"Cards, Wholesale","Bonair Daydreams, Faire, PHF Collective Wellness",,,4,3.95,1.98,7.92
BD Greeting Cards,Do Not Be Afraid of Tomorrow,Watertown,"Cards, Wholesale","Bonair Daydreams, Faire, PHF Collective Wellness",,,6,3.95,1.98,11.88
BD Greeting Cards,Don't Save Something For A Special Occasion,Watertown,"Cards, Wholesale","Bonair Daydreams, Faire, PHF Collective Wellness",,,6,3.95,1.98,11.88
BD Greeting Cards,Every Soul Is To Be Cherished,Watertown,"Cards, Wholesale","Bonair Daydreams, Faire, PHF Collective Wellness",,,4,3.95,1.98,7.92
BD Greeting Cards,Faith Is The Radar,Watertown,"Cards, Wholesale","Bonair Daydreams, Faire, PHF Collective Wellness",,,8,3.95,1.98,15.84
BD Greeting Cards,Forever is Composed of Nows,Watertown,"Cards, Wholesale","Bonair Daydreams, Faire, PHF Collective Wellness",,,5,3.95,1.98,9.9
BD Greeting Cards,Friend One Who Listens,Watertown,"Cards, Wholesale","Bonair Daydreams, Faire, PHF Collective Wellness",,,7,3.95,1.98,13.86
BD Greeting Cards,Friendship Isn't About Whom You Have,Watertown,"Cards, Wholesale","Bonair Daydreams, Faire, PHF Collective Wellness",,,1,3.95,1.98,1.98
