Orders Report,,,,,,,,,
"Orders Report from Sep 15, 2025 at 12:00 AM EDT to Sep 16, 2025 at 12:00 AM EDT",,,,,,,,,
"Sales Channels: OLD - PINE HILL FARM WELLNESS, PINE HILL FARM WELLNESS, Shopventory Invoicing",,,,,,,,,
All Orders,,,,,,,,,
Locations: Watertown,,,,,,,,,
,,,,,,,,,
Order,Location,Order Total,Total Discounts,Refunds,Gross Sales Tax,Net COGS,Net Profit,Net Sales,Net Profit Margin
144M3D8KYBZRY,Watertown,$152.58,,,$7.75,,,$144.83,
2T9JNM2ZDK08G,Watertown,$30.00,,,,$10.00,$20.00,$30.00,66.67%
NVX7ZAN9XWED2,Watertown,$26.32,,,$1.37,,,$24.95,
NS8NSG9CNXEEJ,Watertown,$84.00,,-$30.00,,$34.50,$19.50,$54.00,36.11%
48GWSVFSYPDN4,Watertown,$77.73,-$20.00,,$3.84,,,$73.89,
CDRF55YC6MDHY,Watertown,$97.03,-$3.00,,$3.09,$38.51,$55.43,$93.94,59.01%
J1JGJV3N0Q7K0,Watertown,$317.93,-$3.00,,,$157.30,$160.63,$317.93,50.52%
EES5PNFSPB3C6,Watertown,$111.27,,,$2.36,$51.15,$57.76,$108.91,53.03%
ZPWQ995GQD4ZJ,Watertown,$11.59,,,$0.60,$1.99,$4.00,$10.99,36.40%
R0CGB7XM7EBZW,Watertown,$124.99,-$3.00,,$3.11,$47.95,$73.93,$121.88,60.66%
YHXMB1R1MBH06,Watertown,$23.16,,,$1.21,$5.81,$16.14,$21.95,73.53%
MDJHFQSR1APR4,Watertown,$26.99,,,,$13.50,$13.49,$26.99,49.98%
VY8436XXQDX7J,Watertown,$21.95,,,,$5.81,$16.14,$21.95,73.53%
MCV0BVGHMY2FT,Watertown,$12.50,,,,$9.11,$3.39,$12.50,27.12%
JD7DWM3HKTGG8,Watertown,$55.21,,,$0.27,$31.23,$23.71,$54.94,43.16%
ET9625MZDQ53R,Watertown,$120.00,,,,$80.00,$40.00,$120.00,33.33%
SVX9CMEEAN4FY,Watertown,$156.07,,,$8.14,$59.00,$88.93,$147.93,60.12%
NMXJ9X9KQX16Y,Watertown,$219.15,,,$11.43,,,$207.72,
Total,,"$1,668.47",-$29.00,-$30.00,$43.17,$545.86,$593.05,"$1,595.30",
,,,,,,,,,
,,,,,,,,,
Drive your business forward with data using Thrive.,,,,,,,,,
